"","BW","WL"
"9",4.25,6
"8",3.75,6
"5",3.75,5
"18",4.25,6
"11",3.75,4
"15",4.25,5
"13",3.25,5
"4",3.25,5
"3",4.25,4
"6",4.25,5
"17",3.75,6
"7",3.25,6
"10",3.25,4
"16",3.25,6
"2",3.75,4
"1",3.25,4
"14",3.75,5
"12",4.25,4
