Run order,Temp,Grind,PH
1,80,4,4.43
2,100,4,5.15
3,80,6,5.15
4,100,6,4.97
5,80,4,4.47
6,100,4,4.7
7,80,6,5.06
8,100,6,4.7
9,80,4,4.95
10,100,4,4.61
11,80,6,5.33
12,100,6,5.08
